test_loss_rt(days),test_loss_res,_step,train_acc,train_loss_rt(days),test_acc,train_loss,_runtime,train_loss_res,test_loss,_timestamp,run_name,lr,model,device,epochs,dataset,condition,optimizer,batch_size,project_name,weight_decay
15938.348148148149,5.029106101581123,41,0.7012705299039356,0.01741162759286386,0.6247408431237043,0.8189230509723419,12.609801530838013,3.5260774806294237,1.0064217798777424,1678130372.0940034,tough-blaze-23,0.0007048242932476,,cuda,50,BPI_Challenge_2013_closed_problems,resource_usage,adam,512,bpm23,0.001
26.49590277777778,2.250362009946055,5,0.860294187942998,0.0006923201790562382,0.8182450881811059,0.4443884763690819,663.4803099632263,1.6019040392965567,0.5935198720360663,1678126236.831608,hopeful-sound-22,0.0003955577511533,,cuda,50,bpi19,trace_time,sgd,64,bpm23,0.001
15.415986689814815,2.313718415221609,0,0.8287013933105034,0.0030294609069824218,0.8230165388942616,0.545322099352732,127.93685936927795,1.8335226856265125,0.583372537259852,1678121083.4925194,bright-star-21,0.0009895648917792,,cuda,50,bpi19,resource_usage,adam,64,bpm23,0.001
0.00011191095466966982,0.028788474329545056,34,0.90375151529748,8.791525606755857e-05,0.8629388397088181,0.24324322842422735,442.19069170951843,0.02864349690735918,0.4198373675259836,1678120797.4729357,dainty-silence-20,0.0001156189320173,,cuda,50,BPI_Challenge_2012,trace_time,adam,512,bpm23,0.001
11292.887407407406,0.2317690505613025,24,0.8958898920386388,0.005431226094563802,0.7829394186362402,0.25960914772567184,34.07440447807312,0.27193245279291484,0.5404261571497607,1678120272.5735905,twilight-waterfall-18,0.0007596508409701,,cuda,50,BPI_Challenge_2012_O,trace_time,adam,256,bpm23,0.001
0.16282604076244214,3.555174132633231,33,0.8399366587490102,0.0006458095709482829,0.8128179816235097,0.35802005399528797,140.00456023216248,3.543064121939507,0.4224611803786305,1678120136.3271632,effortless-snowball-16,0.0009795020366736,,cuda,50,BPI_Challenge_2012_W_Complete,trace_time,sgd,64,bpm23,0.001
0.19268220124421295,3.4820312390757255,26,0.8521931908155186,0.0002855667582264653,0.8167666489482877,0.31465876385699354,112.82653260231018,3.100407997465096,0.4065264744044925,1678119819.9997416,wise-paper-15,0.0006184076916739,,cuda,50,BPI_Challenge_2012_W_Complete,resource_usage,adam,64,bpm23,0.001
0.014568201700846354,0.1693434573358267,15,0.9071683746642677,0.0058625673364709925,0.8648511256354393,0.21337259699017344,98.15588927268982,0.137898642717533,0.3375863966079579,1678119459.9716673,expert-haze-14,0.0006993254022691,,cuda,50,BPI_Challenge_2012_A,trace_time,adam,64,bpm23,0.001
0.0014407747763174551,0.11976865588670696,43,0.8480873917650068,0.0006783990948288529,0.8074366302186878,0.4382481208530712,205.7811255455017,0.08725404436458746,0.6026330169579144,1678119278.3985465,robust-meadow-12,0.0001169102508493,,cuda,50,BPI_Challenge_2012_Complete,trace_time,adam,512,bpm23,0.01
0.0001405256986618042,0.023990932959032946,45,0.8986663246986407,9.837181479842575e-05,0.8834278113817019,0.2082202611756221,405.3144588470459,0.060021373561351045,0.2833512114006945,1678119035.3375487,dainty-yogurt-10,0.0002065193259682,,cuda,50,BPI_Challenge_2012_W,trace_time,adam,256,bpm23,0.001
